Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),105528396116.53317
China,Activity,Activities of membership organisation n.e.c. (91),116334574815.81705
China,Activity,Air transport (62),82502941325.15158
China,Activity,Aluminium production,177960495397.07693
China,Activity,Animal products nec,39164695709.15901
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0
China,Activity,Casting of metals,64889576126.4409
China,Activity,Cattle farming,23214785207.849525
China,Activity,Chemicals nec,830395510574.32
China,Activity,"Collection, purification and distribution of water (41)",17587590307.891758
China,Activity,"Composting of food waste, incl. land application",875516427.5952141
China,Activity,"Composting of paper and wood, incl. land application",191539034.73042518
China,Activity,Computer and related activities (72),347820524141.98175
China,Activity,Construction (45),2037131007106.8904
China,Activity,Copper production,112413301321.08052
China,Activity,Cultivation of cereal grains nec,49671970223.22271
China,Activity,Cultivation of crops nec,71215605685.18642
China,Activity,Cultivation of oil seeds,28154047871.5459
China,Activity,Cultivation of paddy rice,39771980797.339966
China,Activity,Cultivation of plant-based fibers,41961136019.36206
China,Activity,"Cultivation of sugar cane, sugar beet",18449506029.13705
China,Activity,"Cultivation of vegetables, fruit, nuts",238457171620.80798
China,Activity,Cultivation of wheat,25696612119.553833
China,Activity,Distribution and trade of electricity,152179262567.31656
China,Activity,Education (80),454895758554.11304
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",125238968729.41054
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",6130959705.975508
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",393865685356.12134
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",217440722343.32205
China,Activity,"Forestry, logging and related service activities (02)",54682126396.74332
China,Activity,Health and social work (85),508103047374.9683
China,Activity,Hotels and restaurants (55),581861270587.5504
China,Activity,Incineration of waste: Food,3503468615.466228
China,Activity,Incineration of waste: Metals and Inert materials,623452829.8293507
China,Activity,Incineration of waste: Oil/Hazardous waste,981809934.7692616
China,Activity,Incineration of waste: Paper,3515126754.1442995
China,Activity,Incineration of waste: Plastic,837749562.2181066
China,Activity,Incineration of waste: Textiles,832343951.5446255
China,Activity,Incineration of waste: Wood,984695196.147957
China,Activity,Inland water transport,4636848964.196039
China,Activity,"Insurance and pension funding, except compulsory social security (66)",204150614543.08182
China,Activity,Landfill of waste: Food,9846692765.12328
