Region,Level,Item,production
EU27+UK,Commodity,Paddy rice,1753100716.2408636
EU27+UK,Commodity,Wheat,33791640885.263435
EU27+UK,Commodity,Cereal grains nec,35638860053.5772
EU27+UK,Commodity,"Vegetables, fruit, nuts",112782175595.06155
EU27+UK,Commodity,Oil seeds,26206731514.575485
EU27+UK,Commodity,"Sugar cane, sugar beet",4623599429.419652
EU27+UK,Commodity,Plant-based fibers,1072302510.2136793
EU27+UK,Commodity,Crops nec,37389722530.8307
EU27+UK,Commodity,Cattle,29595680252.534584
EU27+UK,Commodity,Pigs,38072780679.323906
EU27+UK,Commodity,Poultry,38281692423.81992
EU27+UK,Commodity,Meat animals nec,15213723570.746494
EU27+UK,Commodity,Animal products nec,1984290627.5328622
EU27+UK,Commodity,Raw milk,71114747561.8027
EU27+UK,Commodity,"Wool, silk-worm cocoons",176743916.5277404
EU27+UK,Commodity,Manure (conventional treatment),0.0
EU27+UK,Commodity,Manure (biogas treatment),0.0
EU27+UK,Commodity,"Products of forestry, logging and related services (02)",46736217781.34447
EU27+UK,Commodity,Fish and other fishing products; services incidental of fishing (05),18803328180.06045
EU27+UK,Commodity,Anthracite,2202114288.8439374
EU27+UK,Commodity,Coking Coal,1837061644.0072095
EU27+UK,Commodity,Other Bituminous Coal,13825359626.308401
EU27+UK,Commodity,Sub-Bituminous Coal,138561088.3390402
EU27+UK,Commodity,Patent Fuel,32982114.208806127
EU27+UK,Commodity,Lignite/Brown Coal,5420432932.794378
EU27+UK,Commodity,BKB/Peat Briquettes,1344910728.327456
EU27+UK,Commodity,Peat,748953442.6282046
EU27+UK,Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",72017606992.46185
EU27+UK,Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",20818590043.800896
EU27+UK,Commodity,Natural Gas Liquids,1446894380.1480756
EU27+UK,Commodity,Other Hydrocarbons,703660282.6480927
EU27+UK,Commodity,Uranium and thorium ores (12),536072340.5866584
EU27+UK,Commodity,Iron ores,619529575.0044388
EU27+UK,Commodity,Copper ores and concentrates,7665414175.270727
EU27+UK,Commodity,Nickel ores and concentrates,185999304.43960446
EU27+UK,Commodity,Aluminium ores and concentrates,244352480.06344083
EU27+UK,Commodity,Precious metal ores and concentrates,487649489.3473493
EU27+UK,Commodity,"Lead, zinc and tin ores and concentrates",1281523429.9855754
EU27+UK,Commodity,Other non-ferrous metal ores and concentrates,1665415103.0332322
EU27+UK,Commodity,Stone,20279909966.115555
EU27+UK,Commodity,Sand and clay,27704656193.50482
EU27+UK,Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",15264380349.288824
EU27+UK,Commodity,Products of meat cattle,41627491781.94243
EU27+UK,Commodity,Products of meat pigs,44574998202.51019
EU27+UK,Commodity,Products of meat poultry,63866637923.56795
EU27+UK,Commodity,Meat products nec,112884783511.61592
EU27+UK,Commodity,products of Vegetable oils and fats,36100155533.75087
EU27+UK,Commodity,Dairy products,176786862820.71478
EU27+UK,Commodity,Processed rice,3037504754.861224
EU27+UK,Commodity,Sugar,16691161324.560963
EU27+UK,Commodity,Food products nec,537254868663.261
EU27+UK,Commodity,Beverages,161240945074.5338
EU27+UK,Commodity,Fish products,46121776044.04589
EU27+UK,Commodity,Tobacco products (16),25115600469.414703
EU27+UK,Commodity,Textiles (17),149066460250.18073
EU27+UK,Commodity,Wearing apparel; furs (18),128955000731.73135
EU27+UK,Commodity,Leather and leather products (19),72742186818.23225
EU27+UK,Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),179395148751.83142
EU27+UK,Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
EU27+UK,Commodity,Pulp,67127115314.37233
EU27+UK,Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
EU27+UK,Commodity,Paper and paper products,142934739931.75076
EU27+UK,Commodity,Printed matter and recorded media (22),320303833730.22375
EU27+UK,Commodity,Coke Oven Coke,5262367578.322266
EU27+UK,Commodity,Gas Coke,0.0
EU27+UK,Commodity,Coal Tar,450049498.83092403
EU27+UK,Commodity,Motor Gasoline,152796043504.60632
EU27+UK,Commodity,Aviation Gasoline,107334347.62258229
EU27+UK,Commodity,Gasoline Type Jet Fuel,26665173.001857217
EU27+UK,Commodity,Kerosene Type Jet Fuel,21151266735.00177
EU27+UK,Commodity,Kerosene,8851337241.37461
EU27+UK,Commodity,Gas/Diesel Oil,147092333969.7292
EU27+UK,Commodity,Heavy Fuel Oil,23911496045.08749
EU27+UK,Commodity,Refinery Gas,792128417.5630317
EU27+UK,Commodity,Liquefied Petroleum Gases (LPG),11486118591.381083
EU27+UK,Commodity,Refinery Feedstocks,8366794258.339349
EU27+UK,Commodity,Ethane,66634861.0904032
EU27+UK,Commodity,Naphtha,12232250066.223833
EU27+UK,Commodity,White Spirit & SBP,2435667669.1878595
EU27+UK,Commodity,Lubricants,4669969543.1869755
EU27+UK,Commodity,Bitumen,3570336481.034866
EU27+UK,Commodity,Paraffin Waxes,620373741.4982623
EU27+UK,Commodity,Petroleum Coke,703749035.2642791
EU27+UK,Commodity,Non-specified Petroleum Products,2360571073.630421
EU27+UK,Commodity,Nuclear fuel,4911305621.051367
EU27+UK,Commodity,"Plastics, basic",379088788756.8024
EU27+UK,Commodity,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
EU27+UK,Commodity,N-fertiliser,1147760629.690686
EU27+UK,Commodity,P- and other fertiliser,7960669578.594082
EU27+UK,Commodity,Chemicals nec,226833037746.4237
EU27+UK,Commodity,Charcoal,212652378.7703719
EU27+UK,Commodity,Additives/Blending Components,343561843.5871216
EU27+UK,Commodity,Biogasoline,844745523.568525
EU27+UK,Commodity,Biodiesels,1848339591.3990233
EU27+UK,Commodity,Other Liquid Biofuels,521898438.84436727
EU27+UK,Commodity,Rubber and plastic products (25),355837811054.57574
EU27+UK,Commodity,Glass and glass products,47240071065.15015
EU27+UK,Commodity,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
EU27+UK,Commodity,Ceramic goods,31512266578.918766
EU27+UK,Commodity,"Bricks, tiles and construction products, in baked clay",16103635234.352346
EU27+UK,Commodity,"Cement, lime and plaster",141336929777.86526
EU27+UK,Commodity,"Ash for treatment, Re-processing of ash into clinker",0.0
EU27+UK,Commodity,Other non-metallic mineral products,47648743708.57305
EU27+UK,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,224111098468.85852
EU27+UK,Commodity,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
EU27+UK,Commodity,Precious metals,21495607910.664528
EU27+UK,Commodity,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
EU27+UK,Commodity,Aluminium and aluminium products,76844788068.30334
EU27+UK,Commodity,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
EU27+UK,Commodity,"Lead, zinc and tin and products thereof",13675647362.414621
EU27+UK,Commodity,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
EU27+UK,Commodity,Copper products,69848027628.66118
EU27+UK,Commodity,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
EU27+UK,Commodity,Other non-ferrous metal products,13473921051.750977
