Region,Level,Item,production
EU27+UK,Commodity,Paddy rice,1833051562.1576033
EU27+UK,Commodity,Wheat,34592011200.00777
EU27+UK,Commodity,Cereal grains nec,36343788814.05248
EU27+UK,Commodity,"Vegetables, fruit, nuts",113147342568.13316
EU27+UK,Commodity,Oil seeds,27144765801.068726
EU27+UK,Commodity,"Sugar cane, sugar beet",4946064858.512935
EU27+UK,Commodity,Plant-based fibers,1011601467.6907623
EU27+UK,Commodity,Crops nec,38768063606.13952
EU27+UK,Commodity,Cattle,29577344417.804794
EU27+UK,Commodity,Pigs,38096595267.710884
EU27+UK,Commodity,Poultry,39450134634.77009
EU27+UK,Commodity,Meat animals nec,15880176418.250648
EU27+UK,Commodity,Animal products nec,1767001176.1085744
EU27+UK,Commodity,Raw milk,73263684835.80522
EU27+UK,Commodity,"Wool, silk-worm cocoons",150067724.651856
EU27+UK,Commodity,Manure (conventional treatment),0.0
EU27+UK,Commodity,Manure (biogas treatment),0.0
EU27+UK,Commodity,"Products of forestry, logging and related services (02)",46320409252.96534
EU27+UK,Commodity,Fish and other fishing products; services incidental of fishing (05),18216699054.47194
EU27+UK,Commodity,Anthracite,1904522508.1584506
EU27+UK,Commodity,Coking Coal,2578561030.7973223
EU27+UK,Commodity,Other Bituminous Coal,13701845862.025574
EU27+UK,Commodity,Sub-Bituminous Coal,38096444.40436906
EU27+UK,Commodity,Patent Fuel,33328051.856986266
EU27+UK,Commodity,Lignite/Brown Coal,5026532335.018283
EU27+UK,Commodity,BKB/Peat Briquettes,1236188335.2163053
EU27+UK,Commodity,Peat,764604626.8262637
EU27+UK,Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",65936590441.50772
EU27+UK,Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",18129791771.808544
EU27+UK,Commodity,Natural Gas Liquids,1045827735.6234062
EU27+UK,Commodity,Other Hydrocarbons,630454458.2644086
EU27+UK,Commodity,Uranium and thorium ores (12),545234943.4972129
EU27+UK,Commodity,Iron ores,687150728.0815322
EU27+UK,Commodity,Copper ores and concentrates,6979449129.433552
EU27+UK,Commodity,Nickel ores and concentrates,193147295.8263455
EU27+UK,Commodity,Aluminium ores and concentrates,276653009.4747302
EU27+UK,Commodity,Precious metal ores and concentrates,511529215.0343864
EU27+UK,Commodity,"Lead, zinc and tin ores and concentrates",1179849014.811457
EU27+UK,Commodity,Other non-ferrous metal ores and concentrates,1606903840.6977613
EU27+UK,Commodity,Stone,20587480752.205044
EU27+UK,Commodity,Sand and clay,27762284712.384766
EU27+UK,Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",13861023168.343441
EU27+UK,Commodity,Products of meat cattle,38435947383.42258
EU27+UK,Commodity,Products of meat pigs,42182419129.20657
EU27+UK,Commodity,Products of meat poultry,64057602089.369415
EU27+UK,Commodity,Meat products nec,118364610591.56506
EU27+UK,Commodity,products of Vegetable oils and fats,37156716269.732254
EU27+UK,Commodity,Dairy products,164806063796.38104
EU27+UK,Commodity,Processed rice,2971662382.7852535
EU27+UK,Commodity,Sugar,16037615327.307213
EU27+UK,Commodity,Food products nec,506907213602.82666
EU27+UK,Commodity,Beverages,148513843739.49594
EU27+UK,Commodity,Fish products,41821864918.63455
EU27+UK,Commodity,Tobacco products (16),27454927086.6017
EU27+UK,Commodity,Textiles (17),140422519880.97137
EU27+UK,Commodity,Wearing apparel; furs (18),128151283131.85207
EU27+UK,Commodity,Leather and leather products (19),63510409688.97342
EU27+UK,Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),172450841683.6425
EU27+UK,Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
EU27+UK,Commodity,Pulp,66288060020.134
EU27+UK,Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
EU27+UK,Commodity,Paper and paper products,133742587879.55319
EU27+UK,Commodity,Printed matter and recorded media (22),310828031240.2522
EU27+UK,Commodity,Coke Oven Coke,5026430429.165877
EU27+UK,Commodity,Gas Coke,0.0
EU27+UK,Commodity,Coal Tar,349221534.53776884
EU27+UK,Commodity,Motor Gasoline,141942387958.6724
EU27+UK,Commodity,Aviation Gasoline,91752176.19675016
EU27+UK,Commodity,Gasoline Type Jet Fuel,25624409.05879888
EU27+UK,Commodity,Kerosene Type Jet Fuel,18761428245.514984
EU27+UK,Commodity,Kerosene,9760643893.931822
EU27+UK,Commodity,Gas/Diesel Oil,124744660121.36732
EU27+UK,Commodity,Heavy Fuel Oil,21952616581.491474
EU27+UK,Commodity,Refinery Gas,684058629.8275363
EU27+UK,Commodity,Liquefied Petroleum Gases (LPG),10558700730.314907
EU27+UK,Commodity,Refinery Feedstocks,7793810371.147759
EU27+UK,Commodity,Ethane,55447709.68584306
EU27+UK,Commodity,Naphtha,10831225961.257648
EU27+UK,Commodity,White Spirit & SBP,2176301614.1346707
EU27+UK,Commodity,Lubricants,4581760766.577686
EU27+UK,Commodity,Bitumen,3545996636.042864
EU27+UK,Commodity,Paraffin Waxes,621603202.7148372
EU27+UK,Commodity,Petroleum Coke,571824084.8774722
EU27+UK,Commodity,Non-specified Petroleum Products,2316369977.688664
EU27+UK,Commodity,Nuclear fuel,4812388613.55517
EU27+UK,Commodity,"Plastics, basic",357298085275.6913
EU27+UK,Commodity,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
EU27+UK,Commodity,N-fertiliser,1041562525.3569552
EU27+UK,Commodity,P- and other fertiliser,7754716902.110595
EU27+UK,Commodity,Chemicals nec,202506782898.51453
EU27+UK,Commodity,Charcoal,169524181.42243093
EU27+UK,Commodity,Additives/Blending Components,338763769.45304984
EU27+UK,Commodity,Biogasoline,812465040.7677073
EU27+UK,Commodity,Biodiesels,1712055204.5345967
EU27+UK,Commodity,Other Liquid Biofuels,435834899.53419375
EU27+UK,Commodity,Rubber and plastic products (25),337073388402.2646
EU27+UK,Commodity,Glass and glass products,45852772558.19044
EU27+UK,Commodity,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
EU27+UK,Commodity,Ceramic goods,30422372620.18245
EU27+UK,Commodity,"Bricks, tiles and construction products, in baked clay",15534255559.626297
EU27+UK,Commodity,"Cement, lime and plaster",137907121957.45966
EU27+UK,Commodity,"Ash for treatment, Re-processing of ash into clinker",0.0
EU27+UK,Commodity,Other non-metallic mineral products,44819341355.65922
EU27+UK,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,213558690900.12796
EU27+UK,Commodity,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
EU27+UK,Commodity,Precious metals,21022301081.841038
EU27+UK,Commodity,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
EU27+UK,Commodity,Aluminium and aluminium products,71820487641.54697
EU27+UK,Commodity,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
EU27+UK,Commodity,"Lead, zinc and tin and products thereof",13512947713.528986
EU27+UK,Commodity,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
EU27+UK,Commodity,Copper products,67404563787.75272
EU27+UK,Commodity,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
EU27+UK,Commodity,Other non-ferrous metal products,11947150647.040459
EU27+UK,Commodity,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
EU27+UK,Commodity,Foundry work services,53057205585.989624
EU27+UK,Commodity,"Fabricated metal products, except machinery and equipment (28)",596415963390.4141
EU27+UK,Commodity,Machinery and equipment n.e.c. (29),804497812391.0502
EU27+UK,Commodity,Office machinery and computers (30),107734639683.22153
EU27+UK,Commodity,Electrical machinery and apparatus n.e.c. (31),433017971464.88617
EU27+UK,Commodity,"Radio, television and communication equipment and apparatus (32)",223725570759.4582
EU27+UK,Commodity,"Medical, precision and optical instruments, watches and clocks (33)",276307795410.97363
EU27+UK,Commodity,"Motor vehicles, trailers and semi-trailers (34)",907326578341.1841
EU27+UK,Commodity,Other transport equipment (35),255717905387.1033
EU27+UK,Commodity,Furniture; other manufactured goods n.e.c. (36),274641129713.7436
EU27+UK,Commodity,Secondary raw materials,31034365421.92558
EU27+UK,Commodity,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
EU27+UK,Commodity,Electricity by coal,68690313587.94911
EU27+UK,Commodity,Electricity by gas,77019315264.53091
EU27+UK,Commodity,Electricity by nuclear,67956570953.62015
EU27+UK,Commodity,Electricity by hydro,26041825052.720566
EU27+UK,Commodity,Electricity by wind,10614183356.94968
EU27+UK,Commodity,Electricity by petroleum and other oil derivatives,10375151731.76418
EU27+UK,Commodity,Electricity by biomass and waste,9000564025.962286
EU27+UK,Commodity,Electricity by solar photovoltaic,958054608.5443603
EU27+UK,Commodity,Electricity by solar thermal,34034621.85049624
EU27+UK,Commodity,"Electricity by tide, wave, ocean",47735325.45157257
EU27+UK,Commodity,Electricity by Geothermal,719020165.6912333
EU27+UK,Commodity,Electricity nec,3255668287.6196427
EU27+UK,Commodity,Transmission services of electricity,50516069307.958145
EU27+UK,Commodity,Distribution and trade services of electricity,224229696353.27057
EU27+UK,Commodity,Coke oven gas,475533080.9372118
EU27+UK,Commodity,Blast Furnace Gas,1516515732.7037697
EU27+UK,Commodity,Oxygen Steel Furnace Gas,14587152.598341342
EU27+UK,Commodity,Gas Works Gas,22233240.93621908
EU27+UK,Commodity,Biogas,3434427388.0106535
EU27+UK,Commodity,Distribution services of gaseous fuels through mains,175437332645.9755
EU27+UK,Commodity,Steam and hot water supply services,33258420036.702393
EU27+UK,Commodity,"Collected and purified water, distribution services of water (41)",77767375001.68433
EU27+UK,Commodity,Construction work (45),2132320894302.0684
EU27+UK,Commodity,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
EU27+UK,Commodity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",402002856713.7611
EU27+UK,Commodity,Retail trade services of motor fuel,39193517872.03035
