Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),177807563483.49915
China,Activity,Activities of membership organisation n.e.c. (91),170475541844.29654
China,Activity,Air transport (62),117276100833.59918
China,Activity,Aluminium production,244852843505.72064
China,Activity,Animal products nec,42633808371.21997
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0
China,Activity,Casting of metals,95995013166.69788
China,Activity,Cattle farming,26115603471.430305
China,Activity,Chemicals nec,1197349809721.8428
China,Activity,"Collection, purification and distribution of water (41)",15866946941.306025
China,Activity,"Composting of food waste, incl. land application",3673628312.343732
China,Activity,"Composting of paper and wood, incl. land application",639677997.597739
China,Activity,Computer and related activities (72),562970796312.2083
China,Activity,Construction (45),2937471492172.8804
China,Activity,Copper production,147982287519.2376
China,Activity,Cultivation of cereal grains nec,63709564585.71034
China,Activity,Cultivation of crops nec,92098835885.58551
China,Activity,Cultivation of oil seeds,38603021338.974014
China,Activity,Cultivation of paddy rice,51270465265.178314
China,Activity,Cultivation of plant-based fibers,50193431722.949554
China,Activity,"Cultivation of sugar cane, sugar beet",22436954326.01087
China,Activity,"Cultivation of vegetables, fruit, nuts",284260312339.6825
China,Activity,Cultivation of wheat,31601359496.33548
China,Activity,Distribution and trade of electricity,140225297089.2901
China,Activity,Education (80),947623698559.0681
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",138078484241.05542
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",8865847911.80679
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",659920976221.5635
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",268193663540.53485
China,Activity,"Forestry, logging and related service activities (02)",66565652124.07394
China,Activity,Health and social work (85),799409190372.258
China,Activity,Hotels and restaurants (55),853476587098.5852
China,Activity,Incineration of waste: Food,11382119370.690855
China,Activity,Incineration of waste: Metals and Inert materials,2440487144.8157125
China,Activity,Incineration of waste: Oil/Hazardous waste,3424322750.914758
China,Activity,Incineration of waste: Paper,11460031135.477608
China,Activity,Incineration of waste: Plastic,2787147060.6511297
China,Activity,Incineration of waste: Textiles,2683184923.7683496
China,Activity,Incineration of waste: Wood,3128822717.806716
China,Activity,Inland water transport,6513926777.476981
China,Activity,"Insurance and pension funding, except compulsory social security (66)",324471990480.8974
China,Activity,Landfill of waste: Food,31779071967.485146
China,Activity,Landfill of waste: Inert/metal/hazardous,12126918212.87983
China,Activity,Landfill of waste: Paper,14277037739.127987
China,Activity,Landfill of waste: Plastic,10745152206.285973
China,Activity,Landfill of waste: Textiles,4727039125.030081
China,Activity,Landfill of waste: Wood,5796060991.941345
China,Activity,"Lead, zinc and tin production",62742461851.50435
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1333443966432.722
China,Activity,Manufacture of beverages,68734143789.56804
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",10855434195.222927
China,Activity,"Manufacture of cement, lime and plaster",123714679476.10669
China,Activity,Manufacture of ceramic goods,320317560540.65295
China,Activity,Manufacture of coke oven products,83289486638.02234
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),1044488522328.8025
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",631937509750.7422
China,Activity,Manufacture of fish products,417538647674.2888
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),721513621984.976
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,21812596733.010593
China,Activity,Manufacture of glass and glass products,313430057609.049
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1480637650321.3662
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",153440595090.4779
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",697578651362.7102
China,Activity,Manufacture of office machinery and computers (30),613202680683.3665
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,216618037340.8058
China,Activity,Manufacture of other transport equipment (35),522789557492.5038
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",770954307037.2958
China,Activity,Manufacture of rubber and plastic products (25),814732434291.6051
China,Activity,Manufacture of textiles (17),887159688547.8699
China,Activity,Manufacture of tobacco products (16),22126587164.770523
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),443021375743.21985
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",28692566311.2159
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0
China,Activity,Meat animals nec,35222955319.531784
China,Activity,Mining of aluminium ores and concentrates,3227467503.8411937
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",6186724537.900459
China,Activity,Mining of coal and lignite; extraction of peat (10),238011738575.63727
China,Activity,Mining of copper ores and concentrates,35607477732.62175
China,Activity,Mining of iron ores,9374697900.80817
China,Activity,"Mining of lead, zinc and tin ores and concentrates",5205308887.490135
China,Activity,Mining of nickel ores and concentrates,6239555651.759503
China,Activity,Mining of other non-ferrous metal ores and concentrates,54507689359.326904
China,Activity,Mining of precious metal ores and concentrates,30121114132.48307
China,Activity,Mining of uranium and thorium ores (12),1180956471.8697186
China,Activity,N-fertiliser,583225855.6243255
China,Activity,Other business activities (74),928933309226.1566
China,Activity,Other land transport,267293953523.05786
China,Activity,Other non-ferrous metal production,110546814548.30026
China,Activity,Other service activities (93),370488095034.154
China,Activity,P- and other fertiliser,61776803732.46672
China,Activity,Paper,253003864438.0122
China,Activity,Petroleum Refinery,681336586800.9419
China,Activity,Pigs farming,104341033556.9765
China,Activity,"Plastics, basic",139632721180.465
China,Activity,Post and telecommunications (64),31572121747.976753
China,Activity,Poultry farming,62974582888.76474
China,Activity,Precious metals production,72865975647.76083
China,Activity,Private households with employed persons (95),53091375298.993286
China,Activity,Processed rice,40980594604.13009
China,Activity,Processing of Food products nec,805240464216.8256
China,Activity,Processing of dairy products,21685948260.519135
China,Activity,Processing of meat cattle,6039652248.500177
China,Activity,Processing of meat pigs,21383319479.084057
China,Activity,Processing of meat poultry,22428102694.598167
China,Activity,Processing of nuclear fuel,108502703.27696083
China,Activity,Processing vegetable oils and fats,48725242414.47038
China,Activity,Production of DFIG generators,0.0
China,Activity,Production of PMG generators,0.0
China,Activity,Production of electricity by Geothermal,10826369.307489727
China,Activity,Production of electricity by biomass and waste,554867472.0137827
China,Activity,Production of electricity by coal,280324234969.9109
China,Activity,Production of electricity by gas,5866108743.125388
China,Activity,Production of electricity by hydro,56228895979.46149
China,Activity,Production of electricity by nuclear,7174797216.767555
China,Activity,Production of electricity by petroleum and other oil derivatives,1696719038.4250336
China,Activity,Production of electricity by solar photovoltaic,15452727.761792837
China,Activity,Production of electricity by solar thermal,16873.174870891457
China,Activity,"Production of electricity by tide, wave, ocean",185617.00185484395
China,Activity,Production of electricity by wind,1322443278.0617714
China,Activity,Production of electricity nec,2071680630.4529567
China,Activity,Production of meat products nec,76401829713.70096
China,Activity,Production of mono-Si and poli-Si cells,0.0
China,Activity,Production of offshore wind plants,0.0
China,Activity,Production of onshore wind plants,0.0
China,Activity,Production of photovoltaic modules,0.0
China,Activity,Production of photovoltaic plants,0.0
China,Activity,Public administration and defence; compulsory social security (75),1080126618179.9396
China,Activity,"Publishing, printing and reproduction of recorded media (22)",253527738968.21707
China,Activity,Pulp,4108681028.782822
China,Activity,Quarrying of sand and clay,54415372154.770035
China,Activity,Quarrying of stone,17265875101.365902
China,Activity,Raw milk,31058339740.99292
China,Activity,Re-processing of ash into clinker,0.0
China,Activity,Re-processing of secondary aluminium into new aluminium,0.0
China,Activity,Re-processing of secondary construction material into aggregates,0.0
China,Activity,Re-processing of secondary copper into new copper,0.0
China,Activity,Re-processing of secondary glass into new glass,0.0
China,Activity,"Re-processing of secondary lead into new lead, zinc and tin",0.0
China,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,0.0
China,Activity,Re-processing of secondary paper into new pulp,202490.1767257362
China,Activity,Re-processing of secondary plastic into new plastic,0.0
China,Activity,Re-processing of secondary preciuos metals into new preciuos metals,0.0
China,Activity,Re-processing of secondary steel into new steel,0.0
China,Activity,Re-processing of secondary wood material into new wood material,0.0
China,Activity,Real estate activities (70),888740251507.9783
China,Activity,"Recreational, cultural and sporting activities (92)",208288809581.73096
China,Activity,Recycling of bottles by direct reuse,0.0
China,Activity,Recycling of waste and scrap,80707284811.99435
China,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),111995751572.89293
China,Activity,Research and development (73),124076727563.9282
China,Activity,Retail sale of automotive fuel,10176167505.296947
China,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",401330328621.0614
China,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",151514447653.62488
China,Activity,Sea and coastal water transport,91864253263.4
China,Activity,Steam and hot water supply,6295545610.526688
China,Activity,Sugar refining,9560133696.603626
China,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),456334356470.0227
China,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",223742158540.36588
China,Activity,Transmission of electricity,52380850329.71778
China,Activity,Transport via pipelines,8655789408.214788
China,Activity,Transport via railways,74240864299.03967
China,Activity,"Waste water treatment, food",37014736325.91016
China,Activity,"Waste water treatment, other",66481081169.20421
China,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",378559472666.7639
China,Activity,"Wool, silk-worm cocoons",6484921187.687221
EU27+UK,Activity,Activities auxiliary to financial intermediation (67),264461302923.3811
EU27+UK,Activity,Activities of membership organisation n.e.c. (91),258483578892.48505
EU27+UK,Activity,Air transport (62),241698335205.57782
EU27+UK,Activity,Aluminium production,39268597552.30603
EU27+UK,Activity,Animal products nec,1219440878.9178257
EU27+UK,Activity,"Biogasification of food waste, incl. land application",3435027258.937025
EU27+UK,Activity,"Biogasification of paper, incl. land application",421627429.3901458
EU27+UK,Activity,"Biogasification of sewage slugde, incl. land application",17328175332.44728
EU27+UK,Activity,Casting of metals,55927865776.448395
EU27+UK,Activity,Cattle farming,32065947724.799942
EU27+UK,Activity,Chemicals nec,221005018404.64316
EU27+UK,Activity,"Collection, purification and distribution of water (41)",92807564481.4029
EU27+UK,Activity,"Composting of food waste, incl. land application",25350360187.56206
EU27+UK,Activity,"Composting of paper and wood, incl. land application",90617399.2665759
EU27+UK,Activity,Computer and related activities (72),540808472129.0046
EU27+UK,Activity,Construction (45),2171135960184.1987
EU27+UK,Activity,Copper production,61533208853.30853
EU27+UK,Activity,Cultivation of cereal grains nec,37076174938.463394
EU27+UK,Activity,Cultivation of crops nec,36781882596.48459
EU27+UK,Activity,Cultivation of oil seeds,25745791359.583427
EU27+UK,Activity,Cultivation of paddy rice,1769420016.4025662
EU27+UK,Activity,Cultivation of plant-based fibers,1051360560.2591007
EU27+UK,Activity,"Cultivation of sugar cane, sugar beet",4619383973.24266
EU27+UK,Activity,"Cultivation of vegetables, fruit, nuts",125690295820.85532
EU27+UK,Activity,Cultivation of wheat,34653836706.59321
EU27+UK,Activity,Distribution and trade of electricity,255834464610.14798
EU27+UK,Activity,Education (80),1039753084132.236
EU27+UK,Activity,Extra-territorial organizations and bodies,0.0
EU27+UK,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",73947001025.43306
EU27+UK,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",29858441191.99906
EU27+UK,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",423523667.9836062
EU27+UK,Activity,"Financial intermediation, except insurance and pension funding (65)",899239374660.9912
EU27+UK,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",19366490735.24581
EU27+UK,Activity,"Forestry, logging and related service activities (02)",48527324630.38955
EU27+UK,Activity,Health and social work (85),1619298327878.4824
EU27+UK,Activity,Hotels and restaurants (55),1062411015202.9457
EU27+UK,Activity,Incineration of waste: Food,13780604462.624
EU27+UK,Activity,Incineration of waste: Metals and Inert materials,24057566930.64516
EU27+UK,Activity,Incineration of waste: Oil/Hazardous waste,16965379053.080093
EU27+UK,Activity,Incineration of waste: Paper,16386086343.582346
EU27+UK,Activity,Incineration of waste: Plastic,13141477601.200535
EU27+UK,Activity,Incineration of waste: Textiles,3117277011.985238
EU27+UK,Activity,Incineration of waste: Wood,7307533740.290062
EU27+UK,Activity,Inland water transport,11523106261.120476
EU27+UK,Activity,"Insurance and pension funding, except compulsory social security (66)",410307980062.0673
EU27+UK,Activity,Landfill of waste: Food,16313024094.579727
EU27+UK,Activity,Landfill of waste: Inert/metal/hazardous,18672731213.643448
EU27+UK,Activity,Landfill of waste: Paper,11951947330.046589
EU27+UK,Activity,Landfill of waste: Plastic,3696847625.160675
EU27+UK,Activity,Landfill of waste: Textiles,2197508653.6524606
EU27+UK,Activity,Landfill of waste: Wood,3663804794.171159
EU27+UK,Activity,"Lead, zinc and tin production",11534637059.34246
EU27+UK,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,139345738311.48248
EU27+UK,Activity,Manufacture of beverages,175699941015.97403
EU27+UK,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",16483908501.601933
EU27+UK,Activity,"Manufacture of cement, lime and plaster",119317343585.12358
EU27+UK,Activity,Manufacture of ceramic goods,32780540764.070442
EU27+UK,Activity,Manufacture of coke oven products,5551784904.748927
EU27+UK,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),400432553735.07385
EU27+UK,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",639447793411.6562
EU27+UK,Activity,Manufacture of fish products,37642814117.360634
EU27+UK,Activity,Manufacture of furniture; manufacturing n.e.c. (36),273239278677.67383
EU27+UK,Activity,Manufacture of gas; distribution of gaseous fuels through mains,194778726223.46506
EU27+UK,Activity,Manufacture of glass and glass products,34026895714.48385
EU27+UK,Activity,Manufacture of machinery and equipment n.e.c. (29),861005278071.5745
EU27+UK,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",226567960128.02332
EU27+UK,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",935294202801.5444
EU27+UK,Activity,Manufacture of office machinery and computers (30),103097044769.33505
EU27+UK,Activity,Manufacture of other non-metallic mineral products n.e.c.,47738829075.25853
EU27+UK,Activity,Manufacture of other transport equipment (35),276116542441.30054
EU27+UK,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",236823224874.50763
EU27+UK,Activity,Manufacture of rubber and plastic products (25),354423183800.4945
EU27+UK,Activity,Manufacture of textiles (17),148798056923.4062
EU27+UK,Activity,Manufacture of tobacco products (16),26069808951.573658
EU27+UK,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),120845154855.94833
EU27+UK,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",137575624146.86066
EU27+UK,Activity,"Manure treatment (biogas), storage and land application",19743.9997448789
EU27+UK,Activity,"Manure treatment (conventional), storage and land application",19743.9997448789
EU27+UK,Activity,Meat animals nec,12976394411.976715
EU27+UK,Activity,Mining of aluminium ores and concentrates,199473010.8428699
EU27+UK,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",16815674055.461193
EU27+UK,Activity,Mining of coal and lignite; extraction of peat (10),28344458606.949726
EU27+UK,Activity,Mining of copper ores and concentrates,8828719714.086796
EU27+UK,Activity,Mining of iron ores,537546288.1752293
EU27+UK,Activity,"Mining of lead, zinc and tin ores and concentrates",1394168679.5746245
EU27+UK,Activity,Mining of nickel ores and concentrates,79168259.47222614
EU27+UK,Activity,Mining of other non-ferrous metal ores and concentrates,1663025034.566034
EU27+UK,Activity,Mining of precious metal ores and concentrates,573465388.4929209
EU27+UK,Activity,Mining of uranium and thorium ores (12),574133774.6505731
EU27+UK,Activity,N-fertiliser,1153671577.7817357
EU27+UK,Activity,Other business activities (74),2162743391959.7288
EU27+UK,Activity,Other land transport,730946015523.9297
EU27+UK,Activity,Other non-ferrous metal production,13173977452.553524
EU27+UK,Activity,Other service activities (93),201873782413.28595
EU27+UK,Activity,P- and other fertiliser,8220341657.05994
EU27+UK,Activity,Paper,143306816004.02643
EU27+UK,Activity,Petroleum Refinery,373930535429.2827
EU27+UK,Activity,Pigs farming,38953843491.79603
EU27+UK,Activity,"Plastics, basic",334205228061.8197
EU27+UK,Activity,Post and telecommunications (64),866851475360.0459
EU27+UK,Activity,Poultry farming,38205361124.99536
EU27+UK,Activity,Precious metals production,19688835178.091805
EU27+UK,Activity,Private households with employed persons (95),78665449678.98543
EU27+UK,Activity,Processed rice,4014090499.208769
EU27+UK,Activity,Processing of Food products nec,465870396189.29333
EU27+UK,Activity,Processing of dairy products,165024590880.2413
EU27+UK,Activity,Processing of meat cattle,49186962642.12029
EU27+UK,Activity,Processing of meat pigs,55156532018.95722
EU27+UK,Activity,Processing of meat poultry,47338154594.59249
EU27+UK,Activity,Processing of nuclear fuel,5092669214.02425
EU27+UK,Activity,Processing vegetable oils and fats,40401832658.47542
EU27+UK,Activity,Production of DFIG generators,0.0
EU27+UK,Activity,Production of PMG generators,0.0
EU27+UK,Activity,Production of electricity by Geothermal,723259191.7887367
EU27+UK,Activity,Production of electricity by biomass and waste,10492216362.324621
EU27+UK,Activity,Production of electricity by coal,82254597625.15576
EU27+UK,Activity,Production of electricity by gas,101575742481.36421
EU27+UK,Activity,Production of electricity by hydro,27276443748.03332
EU27+UK,Activity,Production of electricity by nuclear,73669676986.74843
EU27+UK,Activity,Production of electricity by petroleum and other oil derivatives,12845864900.457718
EU27+UK,Activity,Production of electricity by solar photovoltaic,690677202.9063637
EU27+UK,Activity,Production of electricity by solar thermal,996438.2018743182
EU27+UK,Activity,"Production of electricity by tide, wave, ocean",96584824.14689893
EU27+UK,Activity,Production of electricity by wind,11893994946.771362
EU27+UK,Activity,Production of electricity nec,3726696112.5006385
EU27+UK,Activity,Production of meat products nec,111205306017.30133
EU27+UK,Activity,Production of mono-Si and poli-Si cells,0.0
