Activity to,Scenario,Year,Performance,Value
Production of photovoltaic plants,Constant,2011,Average,12.293416168929436
Production of photovoltaic plants,Constant,2011,Best,12.292732432302461
Production of photovoltaic plants,Constant,2011,Worst,12.29396375397698
Production of photovoltaic plants,Constant,2012,Average,11.165023869007221
Production of photovoltaic plants,Constant,2012,Best,11.163950780666504
Production of photovoltaic plants,Constant,2012,Worst,11.166321020255879
Production of photovoltaic plants,Constant,2013,Average,11.780791573901611
Production of photovoltaic plants,Constant,2013,Best,11.780289911313547
Production of photovoltaic plants,Constant,2013,Worst,11.781095395713347
Production of photovoltaic plants,Constant,2014,Average,13.001045887078769
Production of photovoltaic plants,Constant,2014,Best,13.001116308806777
Production of photovoltaic plants,Constant,2014,Worst,13.000227045032677
Production of photovoltaic plants,Constant,2015,Average,13.174053699430265
Production of photovoltaic plants,Constant,2015,Best,13.17387069145795
Production of photovoltaic plants,Constant,2015,Worst,13.173606487383578
Production of photovoltaic plants,Constant,2016,Average,14.12272078964784
Production of photovoltaic plants,Constant,2016,Best,14.123062414972756
Production of photovoltaic plants,Constant,2016,Worst,14.121289781382137
Production of photovoltaic plants,Constant,2017,Average,13.42562310884715
Production of photovoltaic plants,Constant,2017,Best,13.426286433763442
Production of photovoltaic plants,Constant,2017,Worst,13.42377573587185
Production of photovoltaic plants,Constant,2018,Average,13.146898659822607
Production of photovoltaic plants,Constant,2018,Best,13.146542870868519
Production of photovoltaic plants,Constant,2018,Worst,13.14666854939951
Production of photovoltaic plants,Constant,2019,Average,12.984404604989798
Production of photovoltaic plants,Constant,2019,Best,12.98494626784141
Production of photovoltaic plants,Constant,2019,Worst,12.982812438921428
