Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,USA,USA,USA,USA,USA,USA,USA,RoW,RoW,RoW,RoW,RoW,RoW,RoW,China,China,China,China,China,China,China
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob)
Region,Level,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU27+UK,Commodity,Paddy rice,829381862.3802806,5123135.675116193,3139507.401443967,18574.882812842414,7610638.0157707725,0.0,0.0,731.4778099543059,0.0,0.0,0.0,440.470046212421,0.0,0.0,115327.30255699901,42.80031400098454,525.2566783550445,0.0,5418.784270643929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Wheat,11376981364.579706,31917859.81957774,155204409.30271915,205543.55461784266,665283656.0498388,0.0,0.0,1315087.224503645,0.0,0.0,0.0,1277324.0574909938,0.0,0.0,421992528.83852494,589.4237732094132,980897.6013507189,1259634.0955972574,121217.887591973,0.0,0.0,0.0,83.85965679456204,918848.0477899245,0.0,16.428090822101527,0.0,0.0
EU27+UK,Commodity,Cereal grains nec,3767222025.3902555,6602817.203455703,67820629.95575838,222425.03068737648,566229220.7971491,0.0,0.0,372419.0746459339,0.0,0.0,0.0,55913.73445259677,0.0,0.0,100035619.54095417,1749.9674676060954,52927.327632545435,129057.1462339445,417318.58187733084,0.0,0.0,0.0,28986.749779091035,136.3724882752627,0.0,6922.647116053586,0.0,0.0
EU27+UK,Commodity,"Vegetables, fruit, nuts",65419771180.99356,455130942.2728631,378137935.591284,46667.91902765777,845703058.7197188,0.0,0.0,129716710.77795051,0.0,0.0,0.0,462139.99614863965,0.0,0.0,3246147299.3698144,3019.823620307873,26875.51281856946,39679748.960023545,7728199.198365579,0.0,0.0,14604230.162818521,3354.773908983833,1501.815620041037,0.0,15.459872361068657,0.0,0.0
EU27+UK,Commodity,Oil seeds,4597585866.994877,9186832.44896686,21617219.54035768,29899.894860123823,340043127.2255912,0.0,0.0,0.0,0.0,0.0,0.0,33579.144851799465,0.0,0.0,19621062.629269272,546.3702388155049,17380.868619754827,0.0,347733.68807210407,0.0,0.0,0.0,183201.94548911398,359.1030694449978,0.0,3711.2462933672577,0.0,0.0
EU27+UK,Commodity,"Sugar cane, sugar beet",0.0,0.0,29206.14739122118,0.0,397724641.6376212,0.0,0.0,0.0,0.0,0.0,0.0,1.9537337771313676,0.0,0.0,1.906048345944137,0.7300708389186263,132.06499044483365,0.0,20.0791377359845,0.0,0.0,0.0,0.0,0.0,0.0,0.0021310531362153,0.0,0.0
EU27+UK,Commodity,Plant-based fibers,405286687.7192187,63279.74735453305,245968.7191728204,14763.549279204086,3727348.0501849977,0.0,0.0,0.0,0.0,0.0,0.0,53817.71304686101,0.0,0.0,270490.4363445724,1.945586027574845,19516.175637900607,254202.08735625327,677041.6378008985,0.0,0.0,0.0,7470658.919033995,647670.0394133083,0.0,692568.4951055158,0.0,0.0
EU27+UK,Commodity,Crops nec,7900287176.939677,21095583.033468656,82335603.08322106,520539512.053126,455200707.3733157,0.0,0.0,17187145.002607122,0.0,0.0,0.0,123030.97468552868,0.0,0.0,2412806151.1044016,121184.93197788762,254570.67748760633,65665010.23226804,7149709.690081596,0.0,0.0,5868952.714002793,971067.440726329,367487.93302733224,0.0,104154.13176969008,0.0,0.0
EU27+UK,Commodity,Cattle,0.0,0.0,1557641.4719986462,3210664480.481443,733135461.7665635,0.0,0.0,2.7156007589824824,0.0,0.0,0.0,6.97493434151679,0.0,0.0,76.43224315842728,41.99651366699863,426.51952314887944,51.58088894738009,70465657.2296546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Pigs,0.0,0.0,334031.9148645993,4003699305.6241255,1423047155.9940605,0.0,0.0,0.0,0.0,0.0,0.0,1.591114087044167,0.0,0.0,183319.83956756056,29.27740976121983,1577.4024246401605,53996.812527687725,720407.9294220373,0.0,0.0,0.0,806.5910631507065,0.0,0.0,1132.7998149053883,0.0,0.0
EU27+UK,Commodity,Poultry,20923368826.32057,47974596.77987519,141233593.76413774,685997431.5879545,370736637.5381567,0.0,0.0,77823.57929267998,0.0,0.0,0.0,41.34961873189421,0.0,0.0,2894530.81935845,256.5302333648508,69.71235768298018,0.0,15338881.717422312,0.0,0.0,0.0,310.59538144962335,2367324.6025916366,0.0,235.13398582087788,0.0,0.0
EU27+UK,Commodity,Meat animals nec,6647637227.495824,21704544.54915335,21761142.636723585,309556616.8891479,129528557.63844009,0.0,0.0,0.0,0.0,0.0,0.0,263765139.70785838,0.0,0.0,35366083.174606845,4322.53697254169,25596666.951383937,7849105.565270811,73295766.01394111,0.0,0.0,0.0,2111.572990047568,21117864.206467662,0.0,762.6697216398327,0.0,0.0
EU27+UK,Commodity,Animal products nec,618415755.9979775,7955849.28669777,5008372.814605478,49997.901570004935,22068950.440284956,0.0,0.0,14428057.550519217,0.0,0.0,0.0,62873.900975130775,0.0,0.0,154218763.41738194,337.85639103236684,29908.806905391673,48605746.87847953,266967.0719630028,0.0,0.0,24123212.24697302,1589.4355572191369,240.05156570551117,103729798.68458839,270917.25518516643,0.0,0.0
EU27+UK,Commodity,Raw milk,5995230513.137351,16308381.770214472,99252827.1720756,2089.3827883640797,1065209514.222557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,"Wool, silk-worm cocoons",0.0,0.0,1010521.849353642,125954.17049218024,75923472.1836886,0.0,0.0,0.0,0.0,0.0,0.0,223767.79355803545,0.0,0.0,91849.46318579171,13534.431355364202,20831.289359783597,0.0007268463047147939,34190.703404473024,0.0,0.0,0.0,2767.938424181345,0.0,0.0,30236964.818919767,0.0,0.0
EU27+UK,Commodity,Manure (conventional treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Manure (biogas treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,"Products of forestry, logging and related services (02)",6176282038.331782,278517114.6575475,152654654.49111527,1768356019.548833,2787740385.252118,0.0,0.0,0.0,0.0,0.0,0.0,104834.45311068621,0.0,0.0,95718014.46378782,29954.347549186175,58767.56759549928,2628576.500001005,6213166.512449191,0.0,0.0,80416935.95008963,69710.77444798098,28298.991131618386,0.0,460659.03218681685,0.0,0.0
EU27+UK,Commodity,Fish and other fishing products; services incidental of fishing (05),10091298911.240381,2326409.2421752103,4219669.795716509,47354679.881998815,59324929.18132479,0.0,0.0,0.0,0.0,0.0,0.0,182503.77498822412,0.0,0.0,228305767.02195254,3045.740008213356,3552.6169669894894,7.578145793997474,1597008.89336807,0.0,0.0,5091728.511392072,21647.754187640236,1923.0279743275562,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Anthracite,49902215.513253696,0.0,4681018.641494744,1762603.1639226787,9200660.932357272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9496409.89836346,0.0,1654079.4396159835,451.4856215103069,6836.893156514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
