Activity to,Scenario,Year,Performance,Value
Production of photovoltaic plants,Constant,2011,Average,9.410219349851186
Production of photovoltaic plants,Constant,2011,Best,9.40828608744501
Production of photovoltaic plants,Constant,2011,Worst,9.41316331279204
Production of photovoltaic plants,Constant,2012,Average,8.470959168075943
Production of photovoltaic plants,Constant,2012,Best,8.468970856239826
Production of photovoltaic plants,Constant,2012,Worst,8.47405223264505
Production of photovoltaic plants,Constant,2013,Average,11.065446521108111
Production of photovoltaic plants,Constant,2013,Best,11.064309917330805
Production of photovoltaic plants,Constant,2013,Worst,11.06694875183468
Production of photovoltaic plants,Constant,2014,Average,12.547954811738224
Production of photovoltaic plants,Constant,2014,Best,12.547227888903038
Production of photovoltaic plants,Constant,2014,Worst,12.548629464488636
Production of photovoltaic plants,Constant,2015,Average,16.819740820899035
Production of photovoltaic plants,Constant,2015,Best,16.820327514847936
Production of photovoltaic plants,Constant,2015,Worst,16.81786575573884
Production of photovoltaic plants,Constant,2016,Average,18.031712220493116
Production of photovoltaic plants,Constant,2016,Best,18.03273366780484
Production of photovoltaic plants,Constant,2016,Worst,18.029051749157333
Production of photovoltaic plants,Constant,2017,Average,15.057536374434472
Production of photovoltaic plants,Constant,2017,Best,15.058058606744979
Production of photovoltaic plants,Constant,2017,Worst,15.055986366591837
Production of photovoltaic plants,Constant,2018,Average,17.54497133190813
Production of photovoltaic plants,Constant,2018,Best,17.545761756238225
Production of photovoltaic plants,Constant,2018,Worst,17.542664435015734
Production of photovoltaic plants,Constant,2019,Average,17.531716767063628
Production of photovoltaic plants,Constant,2019,Best,17.533383672586456
Production of photovoltaic plants,Constant,2019,Worst,17.528142182057564
Production of onshore wind plants,Constant,2011,Average,2.3474235804266357
Production of onshore wind plants,Constant,2011,Best,2.3482786677786858
Production of onshore wind plants,Constant,2011,Worst,2.345899750069915
Production of onshore wind plants,Constant,2012,Average,2.344064142751853
Production of onshore wind plants,Constant,2012,Best,2.3449155941461846
Production of onshore wind plants,Constant,2012,Worst,2.3425418919391845
Production of onshore wind plants,Constant,2013,Average,2.3644470672070605
Production of onshore wind plants,Constant,2013,Best,2.3653611503176104
Production of onshore wind plants,Constant,2013,Worst,2.3628246447503414
Production of onshore wind plants,Constant,2014,Average,2.3337071508664926
Production of onshore wind plants,Constant,2014,Best,2.3346734637839943
Production of onshore wind plants,Constant,2014,Worst,2.3319997594507957
Production of onshore wind plants,Constant,2015,Average,2.4760083270196582
Production of onshore wind plants,Constant,2015,Best,2.477176040355896
Production of onshore wind plants,Constant,2015,Worst,2.4739574481057907
Production of onshore wind plants,Constant,2016,Average,2.391620264564874
Production of onshore wind plants,Constant,2016,Best,2.3927448886442573
Production of onshore wind plants,Constant,2016,Worst,2.389650907824631
Production of onshore wind plants,Constant,2017,Average,2.141357158212618
Production of onshore wind plants,Constant,2017,Best,2.1423080677925914
Production of onshore wind plants,Constant,2017,Worst,2.139697663617222
Production of onshore wind plants,Constant,2018,Average,2.435684997034195
Production of onshore wind plants,Constant,2018,Best,2.4369596530277735
Production of onshore wind plants,Constant,2018,Worst,2.4334643434493253
Production of onshore wind plants,Constant,2019,Average,2.1339786190922143
Production of onshore wind plants,Constant,2019,Best,2.134953833827792
Production of onshore wind plants,Constant,2019,Worst,2.132281527603137
Production of offshore wind plants,Constant,2011,Average,4.389709830743404
Production of offshore wind plants,Constant,2011,Best,4.391236062950069
Production of offshore wind plants,Constant,2011,Worst,4.38698922413905
Production of offshore wind plants,Constant,2012,Average,4.334114607278848
Production of offshore wind plants,Constant,2012,Best,4.335610746520445
Production of offshore wind plants,Constant,2012,Worst,4.331439061065563
Production of offshore wind plants,Constant,2013,Average,4.4306438881684205
Production of offshore wind plants,Constant,2013,Best,4.432275502674556
Production of offshore wind plants,Constant,2013,Worst,4.427747225696839
Production of offshore wind plants,Constant,2014,Average,4.416123362154305
Production of offshore wind plants,Constant,2014,Best,4.417871487947175
Production of offshore wind plants,Constant,2014,Worst,4.413033861298844
Production of offshore wind plants,Constant,2015,Average,4.559756927112745
Production of offshore wind plants,Constant,2015,Best,4.561813226031782
Production of offshore wind plants,Constant,2015,Worst,4.556143128923839
Production of offshore wind plants,Constant,2016,Average,4.371653487415142
Production of offshore wind plants,Constant,2016,Best,4.37361804466075
Production of offshore wind plants,Constant,2016,Worst,4.368213317205918
Production of offshore wind plants,Constant,2017,Average,4.080048992974212
Production of offshore wind plants,Constant,2017,Best,4.0817852821593785
Production of offshore wind plants,Constant,2017,Worst,4.0770181509213845
Production of offshore wind plants,Constant,2018,Average,4.547536831059197
Production of offshore wind plants,Constant,2018,Best,4.549810241292027
Production of offshore wind plants,Constant,2018,Worst,4.543573302357484
Production of offshore wind plants,Constant,2019,Average,4.060681396166828
Production of offshore wind plants,Constant,2019,Best,4.062464769497947
Production of offshore wind plants,Constant,2019,Worst,4.057577181505755
