Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,USA,USA,USA,USA,USA,USA,USA,RoW,RoW,RoW,RoW,RoW,RoW,RoW,China,China,China,China,China,China,China
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob)
Region,Level,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU27+UK,Commodity,Paddy rice,979052495.0679874,4804614.310901363,3552148.704501929,26989.61533230801,21666385.095951077,0.0,0.0,30863.72450011524,0.0,0.0,0.0,17847.694714655096,0.0,0.0,104869.88751579165,38.26630470901479,2486.1864134024054,0.0,1767.742512733684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Wheat,13033352923.78058,30774161.620731823,185743745.45263752,2808.541635141893,719581933.082466,0.0,0.0,28308.755548275836,0.0,0.0,0.0,4977.764965522796,0.0,0.0,481151283.04659253,2376.7695024307104,641962.5141021634,2781.615876914321,555804.582044773,0.0,0.0,0.0,50920267.28445581,2402.278404927022,0.0,535.9392663529417,0.0,0.0
EU27+UK,Commodity,Cereal grains nec,4903023818.713208,6510106.297977912,92314532.90456729,325737.97337897366,742912324.6909562,0.0,0.0,1654383.6885208848,0.0,0.0,0.0,258741.72540872742,0.0,0.0,173189064.47323966,23285.589550140696,263006.5985079753,250400.01212470865,350737.74152515584,0.0,0.0,0.0,67915.32782084688,10.019559553228193,0.0,12103.524558896965,0.0,0.0
EU27+UK,Commodity,"Vegetables, fruit, nuts",74559261613.24712,463366526.8890819,872606031.1992242,5388310.335178971,1447364032.9069033,0.0,0.0,211453183.38367376,0.0,0.0,0.0,2834.3140129069484,0.0,0.0,3655422915.718552,3819.6953668673955,7580.679322236956,121206096.69498785,13209616.333677724,0.0,0.0,37030557.20949446,16616.971725941,7946.337134030444,0.0,15671.316624474217,0.0,0.0
EU27+UK,Commodity,Oil seeds,5159352373.991913,9842078.789628938,27693181.990041737,43199.136581289116,470609870.4109338,0.0,0.0,0.0,0.0,0.0,0.0,442678.6776005034,0.0,0.0,17489359.422674093,1783.2302397557905,11676.753973718118,0.0,588724.1158078396,0.0,0.0,0.0,745054.3301431382,312461.3828331568,0.0,2090.9630663132857,0.0,0.0
EU27+UK,Commodity,"Sugar cane, sugar beet",0.0,0.0,1447317.7680302446,0.0,371830050.77762395,0.0,0.0,0.0,0.0,0.0,0.0,783.0817084584139,0.0,0.0,125.02958352735773,122.9502814907484,163.41153870050206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Plant-based fibers,377344776.2752428,80787.3532672151,396224.57673596096,21348.9513372209,4626649.89556336,0.0,0.0,0.0,0.0,0.0,0.0,388636.7632136021,0.0,0.0,397715.0581709031,194.40512049640876,2017.4742763678973,1891925.3514016336,539049.1285642827,0.0,0.0,0.0,993943.0123506781,72550.78543721228,0.0,40801.48054186099,0.0,0.0
EU27+UK,Commodity,Crops nec,9554307797.141312,24891719.881933376,121157895.0848028,704252035.190388,447158988.07325757,0.0,0.0,17025427.737783227,0.0,0.0,0.0,8186121.692591409,0.0,0.0,2482402889.8206096,104781.83430753031,225304.96933687714,149666586.82046303,26172314.35750093,0.0,0.0,5375750.486063352,5705961.103930893,2537441.003536024,0.0,766038.8408892377,0.0,0.0
EU27+UK,Commodity,Cattle,0.0,0.0,2212511.4755783416,4524786774.623648,469076325.8072758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2958050964107508,54.60617225317231,463777468.2175741,0.0,14859.682836030957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Pigs,0.0,0.0,9038008.517399551,4473309351.370505,1668502896.7475767,0.0,0.0,0.0,0.0,0.0,0.0,2364.7145676498917,0.0,0.0,33381.79995144927,477.49887586672605,239633.64016061148,406079.9096083111,1618332.7100999323,0.0,0.0,0.0,0.0,2506267.654364485,0.0,14.788580964059388,0.0,0.0
EU27+UK,Commodity,Poultry,22852172886.474377,50340692.16408554,271725384.0947464,837944972.2221525,437966697.868329,0.0,0.0,9828.686624654376,0.0,0.0,0.0,237.35987074855524,0.0,0.0,7444968.005962308,958.9614420989935,8712299.900004035,0.0,22213013.273996897,0.0,0.0,0.0,60.45013615011575,8920226.807278128,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Meat animals nec,6932329010.428732,21713977.631157365,36192426.413486116,487332032.61233616,210022895.65128183,0.0,0.0,0.0,0.0,0.0,0.0,100261104.1079029,0.0,0.0,110448440.64361231,33855.92952644756,3427907.2714176057,3701334.9772897125,31457955.860262047,0.0,0.0,0.0,197.20273500000613,52001873.04464892,0.0,5.637975578814269,0.0,0.0
EU27+UK,Commodity,Animal products nec,839680593.8079462,8708548.608120766,10227850.046236182,55155.18623073154,36394524.34600314,0.0,0.0,21360964.863248527,0.0,0.0,0.0,237977.8765040476,0.0,0.0,243631606.12305522,2174.161698539793,37201.08651080868,64231243.624207065,1763818.5336644799,0.0,0.0,12861717.677536,3647.3087170580125,586.0341391707019,0.0,404970.15880307864,0.0,0.0
EU27+UK,Commodity,Raw milk,5277715535.990473,18906662.620896414,269950457.9158249,2289.641206809987,1219610196.302334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,"Wool, silk-worm cocoons",0.0,0.0,1438493.4963716017,183029.12515691612,78222659.5733392,0.0,0.0,0.0,0.0,0.0,0.0,7827.73368541841,0.0,0.0,811135.5850098088,88076.85193265282,116606.11748244253,0.003432150814728791,71567.85077497142,0.0,0.0,0.0,3586.6104945790153,0.0,0.0,35962160.606737934,0.0,0.0
EU27+UK,Commodity,Manure (conventional treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Manure (biogas treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,"Products of forestry, logging and related services (02)",8155765954.651214,257396442.64008403,79551322.81262404,2206105982.2986016,3819097067.212345,0.0,0.0,0.0,0.0,0.0,0.0,200065.74128619774,0.0,0.0,126260973.18078776,53161.73572555701,87803.93701316288,636984.6396233693,10112215.993596142,0.0,0.0,57197410.825196914,237726.3955135699,103038.58627557832,0.0,4239913.298233071,0.0,0.0
EU27+UK,Commodity,Fish and other fishing products; services incidental of fishing (05),11848884667.199348,754016.9834081449,9212250.404185204,990872.7990693923,83729856.7284869,0.0,0.0,114113931.5063935,0.0,0.0,0.0,187072.50029303518,0.0,0.0,348996832.5957733,10730.79717541044,2095.162096477938,8.222183062497836,3246242.0349403736,0.0,0.0,0.0,64242.60741926566,6095.291572159309,0.0,442231.9064467134,0.0,0.0
EU27+UK,Commodity,Anthracite,48156812.75467979,0.0,144671.57258903087,4138169.5489348043,48359738.1227307,0.0,0.0,2.859260356549349,0.0,0.0,0.0,4.464963261808959,0.0,0.0,419301.58253749384,1.1321196394796975,19787.481399586475,0.0,141.14134625689144,0.0,0.0,0.0,0.0,0.0,0.0,72.82997391194463,0.0,0.0
