Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),90690568275.44092
China,Activity,Activities of membership organisation n.e.c. (91),95054498200.89835
China,Activity,Air transport (62),75037132128.70169
China,Activity,Aluminium production,161901771904.2576
China,Activity,Animal products nec,37022775685.72318
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0
China,Activity,Casting of metals,64571294649.37138
China,Activity,Cattle farming,22514335820.586178
China,Activity,Chemicals nec,746659800716.5037
China,Activity,"Collection, purification and distribution of water (41)",17512557893.487137
China,Activity,"Composting of food waste, incl. land application",750660059.3015761
China,Activity,"Composting of paper and wood, incl. land application",180405382.03260976
China,Activity,Computer and related activities (72),317029326748.29865
China,Activity,Construction (45),2000996849854.2415
China,Activity,Copper production,106425403058.0457
China,Activity,Cultivation of cereal grains nec,48602375349.55396
China,Activity,Cultivation of crops nec,67818773520.18273
China,Activity,Cultivation of oil seeds,26222614781.609413
China,Activity,Cultivation of paddy rice,37386744112.51131
China,Activity,Cultivation of plant-based fibers,29643881318.431335
China,Activity,"Cultivation of sugar cane, sugar beet",16710662741.954304
China,Activity,"Cultivation of vegetables, fruit, nuts",224567989355.95877
China,Activity,Cultivation of wheat,23483774276.93341
China,Activity,Distribution and trade of electricity,184753802253.514
China,Activity,Education (80),520709737790.59155
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",143912111758.84613
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",7102222376.913897
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",361018372526.5413
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",185099139108.19818
China,Activity,"Forestry, logging and related service activities (02)",49781006819.21982
China,Activity,Health and social work (85),434833027669.1373
China,Activity,Hotels and restaurants (55),510018533667.8777
China,Activity,Incineration of waste: Food,3343337642.3316135
China,Activity,Incineration of waste: Metals and Inert materials,471691343.0374421
China,Activity,Incineration of waste: Oil/Hazardous waste,883588945.6431633
China,Activity,Incineration of waste: Paper,3339148390.035669
China,Activity,Incineration of waste: Plastic,754917642.3872819
China,Activity,Incineration of waste: Textiles,777146204.6083806
China,Activity,Incineration of waste: Wood,848800376.861139
China,Activity,Inland water transport,4271766445.657724
China,Activity,"Insurance and pension funding, except compulsory social security (66)",171585149351.80045
China,Activity,Landfill of waste: Food,9924840928.341331
China,Activity,Landfill of waste: Inert/metal/hazardous,3512506938.5567513
China,Activity,Landfill of waste: Paper,4155727557.52822
China,Activity,Landfill of waste: Plastic,3339664732.489634
China,Activity,Landfill of waste: Textiles,1485336234.7690196
China,Activity,Landfill of waste: Wood,1578802612.2521925
China,Activity,"Lead, zinc and tin production",43463097497.22525
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,903627338486.675
China,Activity,Manufacture of beverages,40612297104.890495
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",7192955573.587966
China,Activity,"Manufacture of cement, lime and plaster",90604135538.02602
China,Activity,Manufacture of ceramic goods,218850789099.06613
China,Activity,Manufacture of coke oven products,57217673074.05394
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),680074897074.1104
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",432918900949.4739
China,Activity,Manufacture of fish products,276037707355.096
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),423240773702.54193
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,21591644998.71553
China,Activity,Manufacture of glass and glass products,206826435780.4992
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1039585420134.0244
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",114311477425.31635
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",358756085091.7979
China,Activity,Manufacture of office machinery and computers (30),435727349315.2715
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,147342363014.89996
China,Activity,Manufacture of other transport equipment (35),352036447214.06525
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",480404279071.1115
China,Activity,Manufacture of rubber and plastic products (25),530059183583.7419
China,Activity,Manufacture of textiles (17),580163115877.0323
China,Activity,Manufacture of tobacco products (16),13382924650.986023
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),292941527601.8955
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",14914624306.429047
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0
China,Activity,Meat animals nec,27502639676.856133
China,Activity,Mining of aluminium ores and concentrates,3566726161.5552473
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",6544030921.84235
China,Activity,Mining of coal and lignite; extraction of peat (10),256581134434.43503
China,Activity,Mining of copper ores and concentrates,36548130384.91472
